,id,badge
315,1062,highlightWomen
316,1061,highlightBlack
317,1023,highlightLatinx
318,1023,highlightWomen
319,1433,topCompany
320,1270,topCompany
321,1266,topCompany
322,1266,isHiring
323,1352,topCompany
324,1294,topCompany
325,1294,isHiring
326,1343,highlightWomen
327,1339,highlightLatinx
328,1299,isHiring
329,1286,highlightWomen
330,1284,highlightBlack
331,1284,isHiring
332,1274,highlightBlack
333,1274,highlightWomen
334,1272,highlightWomen
335,1272,isHiring
336,1271,isHiring
337,1269,highlightBlack
338,1264,isHiring
339,1252,highlightWomen
340,1252,isHiring
341,1251,highlightLatinx
342,1249,highlightWomen
343,1246,nonprofit
344,1233,highlightWomen
345,1232,nonprofit
346,1232,highlightLatinx
347,1232,highlightWomen
348,1232,isHiring
349,1229,highlightWomen
350,1226,isHiring
351,1225,highlightWomen
352,1225,isHiring
353,1224,highlightWomen
354,1224,isHiring
355,1213,isHiring
356,1210,highlightLatinx
357,1206,isHiring
358,1205,nonprofit
359,1205,highlightWomen
360,1201,isHiring
361,1200,isHiring
362,1188,highlightWomen
363,1184,isHiring
364,1183,isHiring
365,1431,highlightLatinx
366,1285,highlightLatinx
367,1285,highlightWomen
368,1245,highlightWomen
369,1241,highlightWomen
370,1211,highlightLatinx
371,1278,highlightBlack
372,1227,highlightBlack
373,1186,highlightBlack
374,1556,topCompany
375,1556,highlightLatinx
376,1480,topCompany
377,1480,highlightWomen
378,1480,isHiring
379,1543,topCompany
380,1543,isHiring
381,1451,topCompany
382,1451,isHiring
383,1575,nonprofit
384,1564,isHiring
385,1555,nonprofit
386,1555,highlightWomen
387,1552,nonprofit
388,1551,isHiring
389,1541,isHiring
390,1540,isHiring
391,1535,isHiring
392,1532,highlightLatinx
393,1532,highlightWomen
394,1530,isHiring
395,1527,highlightBlack
396,1527,isHiring
397,1524,isHiring
398,1523,highlightBlack
399,1522,highlightBlack
400,1520,highlightBlack
401,1519,highlightLatinx
402,1517,isHiring
403,1509,isHiring
404,1506,isHiring
405,1503,highlightBlack
406,1502,highlightLatinx
407,1502,isHiring
408,1498,isHiring
409,1496,highlightWomen
410,1490,isHiring
411,1482,isHiring
412,1475,isHiring
413,1472,highlightLatinx
414,1472,highlightWomen
415,1468,highlightWomen
416,1464,isHiring
417,1463,highlightBlack
418,1461,isHiring
419,1455,highlightWomen
420,1448,highlightBlack
421,1448,highlightWomen
422,1444,highlightLatinx
423,1444,highlightWomen
424,1443,isHiring
425,1438,isHiring
426,1563,highlightLatinx
427,1563,highlightWomen
428,1526,highlightWomen
429,1525,highlightWomen
430,1514,highlightWomen
431,1505,highlightWomen
432,1456,highlightWomen
433,1454,highlightWomen
434,1446,highlightWomen
